Project Name,no_change,explicit,explicit_unsafe,flexible,flexible_unsafe,
"izumiReflect",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scalaSTM",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"Scalatest",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scalatestplusTestNG",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissEqual",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissFingerTree",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissLog",FAILURE,FAILURE,SUCCESS,FAILURE,FAILURE,
"scissModel",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissNumbers",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissSerial",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissSerialscissSerialscissSerial",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissSpan",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scissLucre",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"Zio",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"cats",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"catsEffect3",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"catsMtl",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"coop",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"discipline",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"disciplineMunit",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"disciplineSpecs2",NO_JAVA_CLASS,NO_JAVA_CLASS,FAILURE,NO_JAVA_CLASS,NO_JAVA_CLASS,
"fs2",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"monocle",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"munit",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"munitCatsEffect",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"perspective",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
"scalacheckEffect",NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,NO_JAVA_CLASS,
